Q,H,Q_ssa,H_ssa
35890.93,35753.69,35840.82259704282,35774.898956401856
35764.0,35747.29,35814.11016996522,35750.0117238973
35798.93,35756.11,35788.01705443923,35725.375392482514
35784.0,35767.36,35762.1923895089,35700.94498390219
35800.0,35702.99,35736.94292726004,35676.62115232067
35733.52,35613.49,35712.08086163578,35653.17341349735
35642.45,35586.79,35688.48836477936,35631.63545239117
35616.66,35569.34,35667.254881580695,35612.38120311244
35586.34,35560.11,35648.79897779572,35595.55620987704
35598.75,35572.06,35633.46304264217,35581.2436360345
35640.21,35598.62,35620.993035963285,35569.28050504261
35635.2,35569.34,35610.62023005022,35559.229955818235
35579.23,35560.11,35602.23912445365,35551.3350295909
35606.76,35533.45,35596.34829388156,35545.56768473376
35586.79,35506.81,35592.18156465403,35541.9832640175
35524.88,35480.19,35589.71170288128,35540.54780267959
35569.33,35494.45,35589.32919940041,35541.13473305372
35596.02,35569.33,35589.96236505593,35543.35155348414
35613.49,35591.86,35591.160750978706,35545.83135422997
35613.49,35561.14,35592.37034290372,35547.84940757402
35606.25,35517.58,35593.003531531576,35549.30520533767
35600.0,35563.88,35592.63976864182,35550.21288177132
35591.04,35564.73,35591.112374819924,35549.537966267664
35574.91,35558.38,35588.01314768064,35546.78313524144
35595.35,35555.9,35583.07346072321,35541.54395544405
35607.39,35589.01,35575.5407606911,35533.51114655174
35613.49,35525.03,35565.05389802506,35522.0045394532
35545.53,35526.33,35551.273583566035,35507.52080669148
35557.36,35515.86,35534.842123310125,35489.70794664183
35510.01,35453.59,35515.55082399402,35468.58649708035
35468.46,35427.01,35494.00813154487,35444.91823960659
35440.86,35400.45,35470.830978376216,35419.238993762454
35453.59,35383.97,35446.509956920454,35392.12676888653
35457.74,35430.26,35421.24430204233,35364.17413140863
35461.39,35427.46,35395.35014509464,35335.333897537246
35480.19,35425.31,35369.09683222677,35306.1641907256
35417.73,35241.51,35342.671412574135,35277.17357003973
35263.48,35162.31,35317.121916764874,35250.9793593043
35168.62,35135.95,35294.8947209123,35228.85657743952
35224.19,35137.78,35277.5385559333,35211.41933513254
35200.67,35168.0,35264.42009178679,35198.781024650874
35188.69,35135.95,35255.66372343651,35190.57821675622
35180.0,35135.95,35251.372052068305,35186.88844231495
35215.09,35171.55,35251.37868706757,35187.38953530859
35239.14,35182.68,35254.89477095842,35191.2319689008
35225.38,35183.95,35260.93687024971,35197.71793350544
