Q,H,Q_ssa,H_ssa
35304.75,35240.03,35264.17106255811,35204.863924572615
35340.93,35267.94,35272.2623511571,35213.91930874918
35316.71,35261.5,35278.266037082176,35221.38421834031
35350.44,35291.23,35282.31103399624,35227.205528872124
35355.31,35290.0,35283.993009309466,35230.88976891569
35304.78,35267.95,35283.352252273544,35232.54650481248
35283.29,35244.94,35281.50340368231,35232.664099302245
35275.89,35241.51,35279.17923941099,35231.86937278476
35262.37,35219.83,35276.903098848255,35230.64059108071
35223.27,35188.69,35275.46770686763,35229.779736550474
35215.09,35188.69,35275.95303887658,35230.18915982111
35241.51,35192.04,35278.91619358488,35232.32413340331
35223.24,35162.31,35284.39196739287,35236.5879629283
35294.41,35182.24,35292.83213958982,35243.622164901186
35312.76,35293.55,35303.49254437567,35253.46018950731
35312.93,35290.2,35316.058341691874,35264.63049562077
35347.12,35305.92,35330.43552026041,35277.16564862493
35339.89,35321.9,35345.91435455857,35290.6583503127
35323.85,35241.51,35362.20909623184,35304.63227687487
35367.45,35287.96,35379.141458277954,35319.73791116994
35393.99,35336.29,35395.42349648641,35334.9161716041
35400.45,35340.94,35410.356375625495,35349.15672754013
35447.92,35352.68,35423.73730894556,35362.229170191335
35474.28,35408.25,35435.0095406284,35373.961133563986
35517.03,35447.14,35443.91459970093,35383.612406493325
35503.39,35447.14,35449.987383986794,35390.744683841775
35492.03,35439.26,35453.800228793836,35395.512274813176
35511.98,35427.01,35455.810068873405,35398.21588849749
35450.36,35400.45,35456.00043971773,35399.183504347115
35427.01,35380.66,35455.41938595056,35398.96779236904
35393.55,35347.39,35454.720442029364,35398.10935256879
35400.45,35347.39,35454.66540493044,35397.153542897024
35400.45,35375.0,35455.19382953213,35396.139533612615
35404.02,35347.39,35456.32067831121,35394.8214195041
35427.01,35395.01,35457.84391716825,35393.46327279101
35427.01,35385.57,35459.11985524904,35391.128355385124
35447.13,35369.18,35459.826305770264,35387.72426973479
35471.93,35394.0,35459.369502240166,35383.30330448543
35474.23,35409.2,35457.069370576,35377.33584272136
35586.79,35437.74,35452.73351887601,35369.66110325794
35594.52,35473.74,35444.558017328665,35359.70096182129
35506.81,35400.45,35432.197548944416,35346.83186888834
35428.32,35320.89,35416.910157493345,35332.06539932877
35347.39,35267.95,35399.78255667467,35316.53351113247
35344.33,35249.31,35382.02727198325,35300.972646639115
35294.41,35241.51,35363.80690171154,35285.72038119815
35289.59,35244.27,35346.03930728799,35271.076513170665
35305.01,35263.74,35329.01307826989,35257.15470416593
35347.39,35268.64,35312.64133708515,35243.79147461097
35324.2,35215.09,35296.63629645109,35231.03655584434
35252.44,35215.09,35281.50123511615,35219.59954317676
35248.17,35223.68,35268.32232523626,35209.53756391068
35241.51,35162.31,35257.07567314311,35200.655229857
35188.69,35160.39,35247.857258733915,35193.54879342761
35241.51,35174.12,35241.14654897814,35188.00159620084
35267.95,35211.4,35235.83008884965,35183.45203319711
35241.51,35189.65,35231.07265428977,35179.04977966674
35267.95,35197.59,35226.69732169364,35174.72280811412
35215.09,35155.86,35221.932071980955,35169.94039825201
35195.56,35164.92,35217.07457022361,35164.905422599884
35232.63,35184.71,35211.816371082044,35159.21357015526
35189.39,35158.33,35205.39300994716,35152.50384050246
35186.37,35135.95,35198.35698576938,35145.142989330416
35188.69,35135.95,35190.722072149016,35137.45064265491
35188.69,35135.95,35182.4635368558,35129.32753545201
35188.69,35109.6,35173.42103083428,35120.70818529886
35185.17,35109.6,35163.63390199894,35111.816202311216
35188.69,35129.5,35152.97552034073,35102.526256963036
35162.31,35109.83,35141.24535031907,35092.43421225717
35130.4,35109.6,35128.6410830192,35081.71295119624
35116.56,35056.98,35115.6335635809,35070.3479101537
35116.56,35024.26,35102.49542879358,35058.92016228688
35028.45,35004.44,35089.20409651169,35047.70623444857
35021.97,35018.66,35076.91984562574,35037.033866017395
35025.41,35015.86,35065.70397918181,35026.53542471752
35056.99,35018.98,35055.175199244644,35015.97301036847
35083.29,35024.26,35044.65353911137,35004.992679400435
35039.93,35036.89,35033.57200369664,34993.319390184835
35040.86,35030.8,35022.25265959165,34980.65083155042
35040.86,35013.51,35010.55889585792,34966.9086511278
35013.51,34925.78,34998.42979650844,34952.291352679196
34994.26,34899.6,34986.016225075626,34937.79323407213
34978.21,34885.93,34973.565136831035,34923.81230623062
34953.75,34919.34,34961.27544657938,34910.57331665985
34951.99,34892.65,34949.382217199236,34897.652388250055
34898.11,34885.84,34937.87696736353,34885.387891218044
34923.34,34879.22,34927.53429192306,34873.93415310017
34925.79,34873.44,34917.99877918461,34863.41585996462
